Día,Tiempo Total,Tiempo en Instagram,Tiempo en WhatsApp,Tiempo en Spotify,Tiempo en TikTok,Tiempo en Safari,Tiempo en Photos,Pick Ups,Notificaciones,,,
23/08,376,125,83,15,71,19,5,163,326,,,
24/08,421,149,99,25,19,5,10,234,406,,,
25/08,398,131,112,0,19,33,3,199,383,,,
26/08,485,109,172,0,64,15,7,200,446,,,
27/08,425,153,104,35,17,21,23,253,486,,,
28/08,414,150,79,28,35,1,6,379,362,,,
29/08,283,81,67,0,60,20,7,204,365,,,
30/08,384,112,84,0,44,5,20,206,524,,,
31/08,289,107,59,15,27,10,5,242,531,,,
01/09,361,243,91,4,56,6,9,186,518,,,
02/09,376,101,92,6,67,12,0,190,458,,,
03/09,351,99,73,0,72,3,2,307,536,,,
04/09,397,126,59,8,101,0,8,288,358,,,
05/09,468,159,77,1,106,4,21,230,557,,,
06/09,361,146,57,7,57,9,10,205,371,,,
07/09,259,110,19,0,70,5,8,126,307,,,
08/09,262,94,33,10,65,5,7,160,335,,,
09/09,223,49,56,7,22,34,0,167,428,,,
10/09,480,163,97,0,79,14,10,183,568,,,
11/09,379,107,92,18,95,0,6,198,321,,,
12/09,405,134,130,3,32,11,17,215,443,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
